encode_accession,file_name,path,expected_bytes,actual_bytes,status,sha256,checksum_origin,assay_context,sequence_role,label_role,license,downstream_overlap_status,admitted_as_intervention_data
ENCFF535YTL,ENCFF535YTL.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF535YTL.fastq.gz,10302613175,10302613175,VERIFIED,29a6c1b1fa2784bf5ccea04995b33c78af3527e03ec3af453623b11fd6705e5f,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF537NDP,ENCFF537NDP.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF537NDP.fastq.gz,5784715041,5784715041,VERIFIED,6fb8fe93b46404f851e653186ca7a9cd1f142cf082d72487516f961a12ff9da0,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF541ZNH,ENCFF541ZNH.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF541ZNH.fastq.gz,7284041389,7284041389,VERIFIED,35b7d7fc063542dc80c0a931da0b805859b1ae60994f18883832db151a7e867e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF543HPG,ENCFF543HPG.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF543HPG.fastq.gz,6375033427,6375033427,VERIFIED,85f012c315ccebda78bd77672a3de6b9a87a484c290d43cf2b2eb28bf8d4617a,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF577WFE,ENCFF577WFE.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF577WFE.fastq.gz,4751739628,4751739628,VERIFIED,0b9d7fcb8c35b8ac54aa2777a6a9fb71d6188648ac1d6bf23084c0d16e181c5e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF597AIT,ENCFF597AIT.fastq.gz,,12545926768,0,MISSING_MANIFEST_ROW,,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF650VDV,ENCFF650VDV.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF650VDV.fastq.gz,5710627924,5710627924,VERIFIED,a6bd0e5d5453bbd9b29e18e641eac72e8c796c12026494243f7e797a8e7f3535,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF679QCK,ENCFF679QCK.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF679QCK.fastq.gz,6499965516,6499965516,VERIFIED,3756b7bb1303301dd0447f11c4e9b236a8ab7ae5b25aefff3de6a91a77f072c9,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF688YHE,ENCFF688YHE.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF688YHE.fastq.gz,5426027032,5426027032,VERIFIED,4d3e263ef000166adce38f33098e5033bd54d8f8aaf2b4f1f33e59904b779b0e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF695GKX,ENCFF695GKX.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF695GKX.fastq.gz,5982506132,5982506132,VERIFIED,6b9210d0b5590490176075d215cf082bbb98e1f875b28fc01e81850f45f1da13,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF705ECI,ENCFF705ECI.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF705ECI.fastq.gz,4917778845,4917778845,VERIFIED,cc1d301001a45f4fc618e9405da27f10b8a2b19a6223404bc0b81e48c13e3a37,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF737RZD,ENCFF737RZD.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF737RZD.fastq.gz,6165961003,6165961003,VERIFIED,a949761c8104f1dbbf6cc4490b2b2d7f630ac67cabeca218a0427518e7e485a9,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF766PWH,ENCFF766PWH.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF766PWH.fastq.gz,5969700476,5969700476,VERIFIED,e6bf913803d679916f8c1220c3e6f5ca5ab6ac9e2dac24f11412e2e852f07805,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF793WIR,ENCFF793WIR.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF793WIR.fastq.gz,5956266859,5956266859,VERIFIED,7602743f73969c4d93b62a91ac58221f10a0eb7fb24e52ccb5db9f42ee7fc811,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF857WHG,ENCFF857WHG.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF857WHG.fastq.gz,4942771407,4942771407,VERIFIED,366fadbddbb553e02c73eda1222921da3efc76b2347efd4ea903bd226c19651d,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF857YDL,ENCFF857YDL.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF857YDL.fastq.gz,6856809759,6856809759,VERIFIED,2976f25af3128af4e30862ddaca6b9023b907654bb49cfcd66dd3c973dd2678e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF862CXO,ENCFF862CXO.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF862CXO.fastq.gz,5307053579,5307053579,VERIFIED,afdb5ae32e742b5a8de066fdb3cdea1c56ca37b74a435da6a133dfd727790d9e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
